,subject,list,trial_type,position,item,subid
0,53987712fdf99b68e3a45021,1,study,1,desk,53987712fdf99b68e3a45021
1,53987712fdf99b68e3a45021,1,study,2,pretzel,53987712fdf99b68e3a45021
2,53987712fdf99b68e3a45021,1,study,3,whale,53987712fdf99b68e3a45021
3,53987712fdf99b68e3a45021,1,study,4,ostrich,53987712fdf99b68e3a45021
4,53987712fdf99b68e3a45021,1,study,5,city,53987712fdf99b68e3a45021
5,53987712fdf99b68e3a45021,1,study,6,bed,53987712fdf99b68e3a45021
6,53987712fdf99b68e3a45021,1,study,7,sun,53987712fdf99b68e3a45021
7,53987712fdf99b68e3a45021,1,study,8,stool,53987712fdf99b68e3a45021
8,53987712fdf99b68e3a45021,1,study,9,hippo,53987712fdf99b68e3a45021
9,53987712fdf99b68e3a45021,1,study,10,glacier,53987712fdf99b68e3a45021
10,53987712fdf99b68e3a45021,1,study,11,lemon,53987712fdf99b68e3a45021
11,53987712fdf99b68e3a45021,1,study,12,redwood,53987712fdf99b68e3a45021
12,53987712fdf99b68e3a45021,1,study,13,brush,53987712fdf99b68e3a45021
13,53987712fdf99b68e3a45021,1,study,14,notebook,53987712fdf99b68e3a45021
14,53987712fdf99b68e3a45021,1,study,15,ferry,53987712fdf99b68e3a45021
15,53987712fdf99b68e3a45021,1,study,16,jar,53987712fdf99b68e3a45021
16,53987712fdf99b68e3a45021,1,study,17,office,53987712fdf99b68e3a45021
17,53987712fdf99b68e3a45021,1,study,18,lamb,53987712fdf99b68e3a45021
18,53987712fdf99b68e3a45021,1,study,19,brick,53987712fdf99b68e3a45021
19,53987712fdf99b68e3a45021,1,study,20,meadow,53987712fdf99b68e3a45021
20,53987712fdf99b68e3a45021,1,study,21,island,53987712fdf99b68e3a45021
21,53987712fdf99b68e3a45021,1,study,22,pearl,53987712fdf99b68e3a45021
22,53987712fdf99b68e3a45021,1,study,23,stove,53987712fdf99b68e3a45021
23,53987712fdf99b68e3a45021,1,study,24,goggle,53987712fdf99b68e3a45021
24,53987712fdf99b68e3a45021,1,study,25,walnut,53987712fdf99b68e3a45021
25,53987712fdf99b68e3a45021,1,study,26,match,53987712fdf99b68e3a45021
26,53987712fdf99b68e3a45021,1,study,27,train,53987712fdf99b68e3a45021
27,53987712fdf99b68e3a45021,1,study,28,mug,53987712fdf99b68e3a45021
28,53987712fdf99b68e3a45021,1,study,29,orca,53987712fdf99b68e3a45021
29,53987712fdf99b68e3a45021,1,study,30,father,53987712fdf99b68e3a45021
30,53987712fdf99b68e3a45021,1,study,31,spatula,53987712fdf99b68e3a45021
31,53987712fdf99b68e3a45021,1,study,32,lock,53987712fdf99b68e3a45021
32,53987712fdf99b68e3a45021,1,study,33,mite,53987712fdf99b68e3a45021
